,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1650479185102359.0
1,-1.0,-3.0,0.0,1.0,0.0,-1.0,0.0,-1.0,1650479185102359.0
2,0.0,0.0,0.0,3.0,0.0,-1.0,-2.0,0.0,1650479185107389.0
3,-1.0,0.0,4.0,2.0,0.0,0.0,0.0,-3.0,1650479185107389.0
4,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,1650479185108346.0
5,0.0,-1.0,-5.0,-11.0,-2.0,-1.0,-2.0,0.0,1650479185108346.0
6,3.0,2.0,1.0,4.0,-1.0,0.0,-3.0,1.0,1650479185110344.0
7,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1650479185110344.0
8,-1.0,-1.0,-7.0,-5.0,-2.0,-3.0,-2.0,0.0,1650479185120316.0
9,1.0,1.0,-1.0,-2.0,-2.0,-1.0,1.0,0.0,1650479185120316.0
10,1.0,1.0,-1.0,-5.0,1.0,1.0,2.0,0.0,1650479185131833.0
11,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,1.0,1650479185131833.0
12,-2.0,0.0,1.0,-1.0,0.0,1.0,0.0,-1.0,1650479185135856.0
13,0.0,1.0,-1.0,1.0,0.0,0.0,-2.0,0.0,1650479185135856.0
14,2.0,1.0,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,1650479185150781.0
15,0.0,0.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,1650479185150781.0
16,1.0,-1.0,0.0,2.0,0.0,1.0,0.0,0.0,1650479185159827.0
17,1.0,0.0,7.0,6.0,2.0,1.0,1.0,1.0,1650479185159827.0
18,-4.0,-3.0,-3.0,-5.0,-1.0,1.0,-2.0,-2.0,1650479185174869.0
19,-1.0,-3.0,-10.0,-10.0,-2.0,-2.0,0.0,2.0,1650479185174869.0
20,0.0,1.0,13.0,6.0,-1.0,0.0,-1.0,0.0,1650479185180841.0
21,-1.0,-1.0,0.0,5.0,1.0,-1.0,-1.0,-3.0,1650479185180841.0
22,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,1650479185198569.0
23,0.0,0.0,-4.0,-4.0,0.0,1.0,1.0,1.0,1650479185198569.0
24,0.0,0.0,-2.0,0.0,0.0,1.0,1.0,1.0,1650479185236765.0
25,-1.0,-2.0,-2.0,-4.0,-1.0,1.0,1.0,0.0,1650479185236765.0
26,-1.0,-3.0,1.0,0.0,-1.0,-1.0,0.0,-2.0,1650479185236765.0
27,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1650479185236765.0
28,-4.0,-3.0,-1.0,-1.0,1.0,2.0,-2.0,-1.0,1650479185237720.0
29,0.0,0.0,3.0,7.0,0.0,-1.0,-1.0,-1.0,1650479185237720.0
30,-2.0,-3.0,-5.0,-5.0,0.0,1.0,-2.0,-2.0,1650479185240712.0
31,1.0,3.0,-6.0,-6.0,-3.0,-3.0,-2.0,-1.0,1650479185240712.0
32,2.0,1.0,6.0,5.0,-2.0,-1.0,0.0,-2.0,1650479185249825.0
33,1.0,1.0,-11.0,-7.0,-3.0,-3.0,-2.0,0.0,1650479185249825.0
34,-1.0,0.0,2.0,4.0,-1.0,-1.0,1.0,1.0,1650479185255905.0
35,-2.0,-1.0,-1.0,-3.0,0.0,1.0,0.0,1.0,1650479185255905.0
