EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
-1.0,1.0,2.0,-5.0,-1.0,2.0,1.0,-2.0,1650847783947520.0
1.0,0.0,0.0,21.0,2.0,-2.0,0.0,0.0,1650847783947520.0
1.0,-2.0,-3.0,-6.0,-3.0,0.0,-2.0,2.0,1650847783947520.0
-4.0,0.0,0.0,-1.0,-1.0,-1.0,-2.0,-2.0,1650847783947520.0
-1.0,-2.0,-2.0,-2.0,-4.0,-2.0,-3.0,-1.0,1650847783948517.0
0.0,-3.0,-2.0,-9.0,-1.0,0.0,-2.0,-2.0,1650847783948517.0
-2.0,1.0,4.0,1.0,-2.0,-1.0,0.0,-1.0,1650847783951536.0
0.0,0.0,-2.0,-1.0,-1.0,1.0,1.0,-1.0,1650847783951536.0
0.0,0.0,-2.0,-4.0,-2.0,0.0,0.0,1.0,1650847783959488.0
-1.0,2.0,0.0,-4.0,-2.0,1.0,-1.0,1.0,1650847783959488.0
-2.0,-2.0,-2.0,4.0,2.0,1.0,-1.0,-2.0,1650847783968465.0
-1.0,-1.0,-2.0,-4.0,-3.0,-3.0,-2.0,-2.0,1650847783968465.0
-1.0,0.0,0.0,-4.0,-4.0,-3.0,0.0,0.0,1650847783985517.0
-1.0,0.0,2.0,8.0,12.0,5.0,4.0,3.0,1650847783985517.0
0.0,1.0,-3.0,-9.0,-2.0,-1.0,2.0,1.0,1650847783988509.0
1.0,0.0,3.0,-2.0,0.0,0.0,0.0,1.0,1650847783988509.0
-1.0,3.0,-1.0,1.0,1.0,0.0,0.0,-2.0,1650847784000615.0
-1.0,2.0,-1.0,-13.0,-7.0,-2.0,0.0,-2.0,1650847784000615.0
2.0,2.0,9.0,18.0,5.0,2.0,2.0,-1.0,1650847784020600.0
0.0,-1.0,-1.0,-2.0,5.0,0.0,2.0,1.0,1650847784020600.0
-2.0,-5.0,-2.0,2.0,-1.0,-2.0,-1.0,0.0,1650847784021523.0
0.0,0.0,-2.0,-12.0,-1.0,-2.0,-2.0,0.0,1650847784021523.0
0.0,0.0,2.0,16.0,0.0,-1.0,0.0,1.0,1650847784033557.0
-1.0,1.0,5.0,4.0,1.0,1.0,0.0,-1.0,1650847784033557.0
0.0,0.0,3.0,9.0,8.0,4.0,0.0,1.0,1650847784075864.0
0.0,1.0,-1.0,-6.0,-2.0,0.0,0.0,-2.0,1650847784075864.0
3.0,0.0,1.0,0.0,-2.0,-1.0,-3.0,0.0,1650847784075864.0
-1.0,-1.0,0.0,-1.0,-3.0,0.0,-1.0,0.0,1650847784075864.0
-1.0,0.0,-2.0,-4.0,-3.0,0.0,0.0,-3.0,1650847784079863.0
-2.0,-2.0,0.0,-1.0,-3.0,-3.0,-1.0,-1.0,1650847784079863.0
-2.0,0.0,0.0,3.0,0.0,-1.0,0.0,-2.0,1650847784080855.0
