EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
-2.0,-1.0,0.0,3.0,-7.0,-15.0,-2.0,-4.0,1650848981176934.0
0.0,5.0,0.0,8.0,5.0,5.0,0.0,2.0,1650848981176934.0
-3.0,-5.0,1.0,-28.0,-9.0,-15.0,-3.0,-4.0,1650848981177930.0
0.0,0.0,1.0,1.0,8.0,15.0,3.0,0.0,1650848981177930.0
1.0,4.0,-1.0,9.0,-6.0,-3.0,-1.0,1.0,1650848981178928.0
-2.0,-2.0,-1.0,-18.0,0.0,-6.0,-1.0,0.0,1650848981178928.0
0.0,-1.0,-1.0,0.0,3.0,2.0,0.0,-1.0,1650848981179952.0
0.0,2.0,0.0,5.0,-2.0,-3.0,-1.0,0.0,1650848981179952.0
-1.0,-2.0,-1.0,-8.0,3.0,3.0,0.0,0.0,1650848981189899.0
-2.0,-4.0,0.0,-10.0,-8.0,-6.0,-1.0,-3.0,1650848981189899.0
0.0,1.0,-1.0,8.0,-10.0,1.0,-1.0,0.0,1650848981199872.0
-1.0,1.0,0.0,-1.0,13.0,3.0,1.0,1.0,1650848981199872.0
1.0,-4.0,-1.0,-13.0,2.0,-1.0,-1.0,-2.0,1650848981204879.0
0.0,0.0,-1.0,5.0,-7.0,6.0,7.0,0.0,1650848981204879.0
-1.0,2.0,-1.0,8.0,4.0,-3.0,-2.0,1.0,1650848981220844.0
2.0,-2.0,1.0,-6.0,-3.0,-1.0,-2.0,-2.0,1650848981220844.0
-2.0,-4.0,1.0,-2.0,-1.0,-11.0,-2.0,0.0,1650848981228809.0
0.0,1.0,1.0,5.0,7.0,21.0,-1.0,1.0,1650848981228809.0
1.0,-2.0,0.0,-3.0,-8.0,-10.0,-1.0,0.0,1650848981243767.0
-2.0,-1.0,-6.0,-5.0,-4.0,-1.0,1.0,-1.0,1650848981243767.0
-2.0,0.0,1.0,3.0,0.0,0.0,-1.0,-1.0,1650848981251733.0
0.0,-2.0,-2.0,-5.0,-11.0,-26.0,-6.0,-2.0,1650848981251733.0
0.0,0.0,2.0,1.0,5.0,26.0,4.0,1.0,1650848981264903.0
-1.0,-1.0,1.0,-2.0,-3.0,-8.0,-2.0,-1.0,1650848981264903.0
-2.0,-5.0,-1.0,-9.0,-3.0,-2.0,-1.0,-4.0,1650848981307812.0
1.0,3.0,2.0,10.0,-2.0,0.0,-2.0,0.0,1650848981307812.0
0.0,2.0,-2.0,0.0,2.0,0.0,-1.0,0.0,1650848981311801.0
0.0,-3.0,0.0,-12.0,-11.0,-4.0,2.0,-3.0,1650848981311801.0
1.0,0.0,-1.0,7.0,7.0,-3.0,-2.0,-1.0,1650848981311801.0
1.0,1.0,2.0,4.0,5.0,22.0,4.0,3.0,1650848981311801.0
-1.0,-5.0,-3.0,-13.0,-4.0,-24.0,-4.0,-2.0,1650848981312808.0
-1.0,0.0,-1.0,-1.0,1.0,27.0,0.0,-2.0,1650848981312808.0
-1.0,1.0,-2.0,6.0,0.0,-5.0,0.0,2.0,1650848981317785.0
-1.0,-3.0,-1.0,-12.0,-5.0,-13.0,-6.0,-2.0,1650848981317785.0
1.0,-1.0,0.0,1.0,-3.0,1.0,-2.0,-3.0,1650848981324768.0
-3.0,0.0,-4.0,5.0,-8.0,-20.0,-3.0,0.0,1650848981324768.0
-1.0,1.0,-1.0,0.0,3.0,-3.0,-3.0,0.0,1650848981332745.0
0.0,-2.0,0.0,-5.0,4.0,15.0,3.0,-1.0,1650848981332745.0
2.0,0.0,1.0,2.0,0.0,2.0,-1.0,1.0,1650848981347705.0
2.0,0.0,-1.0,5.0,9.0,7.0,3.0,1.0,1650848981347705.0
0.0,-1.0,2.0,-7.0,-4.0,0.0,-1.0,-2.0,1650848981354706.0
-1.0,-2.0,-2.0,0.0,-2.0,-7.0,-1.0,-2.0,1650848981354706.0
-3.0,0.0,1.0,2.0,-10.0,-17.0,-4.0,-2.0,1650848981378649.0
